nicknames;application/kernel;Num. of Registers;sm_efficiency(Avg)%;achieved_occupancy(Avg);total_global_transactions;shared_total_transactions;inst_fp_32(Avg);inst_fp_64(Avg);inst_integer(Avg);time_percentage
S_P26;level2_s3d  void qssa_kernel<float>float*, float*, float*;101;95.22;0.240734;1050624;0;5170176;0;18233856;2.9460196
S_P27;level2_s3d  void rdsmh_kernel<float>float const *, float*, float;64;92.65;0.242429;57024;0;760320;9427968;3511296;3.474509
S_P28;level2_s3d  void rdwdot10_kernel<double>double const *, double const *, double*, double, double const *;54;90.5;0.071462;243712;0;0;1032192;3821568;1.3368486
S_P29;level2_s3d  void qssab_kernel<float>float*, float*, float*;66;90.33;0.235477;1100736;0;3041280;0;4174848;1.6672211
S_P30;level2_s3d  void ratt_kernel<float>float const *, float*, float;32;94.65;0.242675;359424;0;1893888;25588224;15911424;8.948468
S_P31;level2_s3d  void rdwdot2_kernel<double>double const *, double const *, double*, double, double const *;32;67.19;0.070868;53248;0;0;237568;880640;0.3120096
S_P32;level2_s3d  void rdwdot3_kernel<double>double const *, double const *, double*, double, double const *;32;87.22;0.070896;221696;0;0;921600;3543040;1.3180296
S_P33;level2_s3d  void rdwdot6_kernel<double>double const *, double const *, double*, double, double const *;32;75.72;0.070484;89088;0;0;389120;1441792;0.54213566
S_P34;level2_s3d  void rdwdot7_kernel<double>double const *, double const *, double*, double, double const *;32;81.36;0.07122;109568;0;0;512000;1773568;0.66607374
S_P35;level2_s3d  void rdwdot8_kernel<double>double const *, double const *, double*, double, double const *;32;78;0.071048;89088;0;0;397312;1441792;0.5662929
S_P36;level2_s3d  void rdwdot9_kernel<double>double const *, double const *, double*, double, double const *;32;82.59;0.071293;120320;0;0;491520;1990656;0.7098489
S_P37;level2_s3d  void qssa2_kernel<double>double*, double*, double const *;32;92.66;0.071177;369664;0;0;757760;3633152;3.4536552
S_P38;level2_s3d  void ratx2_kernel<double>double const *, double*, double*;48;91.85;0.071141;412672;0;0;1175552;4194304;4.0428696
S_P39;level2_s3d  void rdwdot_kernel<double>double const *, double const *, double*, double, double const *;32;84.1;0.071322;175616;0;0;708608;2793472;1.1498556
S_P40;level2_s3d  void ratx4_kernel<double>double const *, double*, double*;56;92.7;0.071125;413696;0;0;1310720;4206592;4.0936837
S_P41;level2_s3d  void ratxb_kernel<double>double const *, double const *, double*, double*, double const *, double;76;80.87;0.071077;102400;0;520192;6447104;2166784;3.7554634
S_P42;level2_s3d  void ratxb_kernel<float>float const *, float const *, float*, float*, float const *, float;60;92.04;0.232005;286848;0;12151296;6248448;5847552;3.5333323
S_P43;level2_s3d  void ratt2_kernel<double>double const *, double const *, double*, double const *, double;44;75.01;0.070768;60416;0;147456;745472;962560;0.6580785
S_P44;level2_s3d  void ratt10_kernel<double>double const *, double*, double;28;72.41;0.073128;22528;0;98304;1601536;626688;0.95846534
S_P45;level2_s3d  void ratt3_kernel<double>double const *, double const *, double*, double const *, double;64;77.87;0.071161;68608;0;172032;892928;1236992;0.68645644
S_P46;level2_s3d  void ratx_kernel<double>double const *, double const *, double*, double*, double const *, double;54;79.62;0.071244;84992;0;651264;7544832;2375680;4.233936
S_P47;level2_s3d  void ratt4_kernel<double>double const *, double const *, double*, double const *, double;56;76.86;0.071202;70656;0;172032;876544;1277952;0.6968242
S_P48;level2_s3d  void ratt5_kernel<double>double const *, double const *, double*, double const *, double;56;78.42;0.071047;76800;0;188416;942080;1413120;0.79045796
S_P49;level2_s3d  void ratt6_kernel<double>double const *, double const *, double*, double const *, double;44;79.02;0.070938;76800;0;172032;925696;1404928;0.776046
S_P50;level2_s3d  void ratx_kernel<float>float const *, float const *, float*, float*, float const *, float;45;91.99;0.231783;245376;0;14211072;7174656;6386688;3.778229
S_P51;level2_s3d  void ratt7_kernel<double>double const *, double const *, double*, double const *, double;52;79.35;0.070837;77824;0;204800;974848;1441792;0.81665933
S_P52;level2_s3d  void ratt8_kernel<double>double const *, double const *, double*, double const *, double;50;79.23;0.070833;76800;0;204800;1003520;1425408;0.8224731
S_P53;level2_s3d  void ratt9_kernel<double>double const *, double const *, double*, double const *, double;63;80.05;0.070986;88064;0;253952;1265664;1626112;0.92003345
S_P54;level2_s3d  void qssa_kernel<double>double*, double*, double*;142;93.1;0.071396;337920;0;81920;1572864;5320704;2.2360237
